v8-version,4,9,385,35,0
code-creation,Builtin,4,0x1af65b1d560,188,"InOptimizationQueue"
code-creation,Builtin,4,0x1af65b1d620,591,"JSConstructStubGeneric"
code-creation,Builtin,4,0x1af65b1d880,267,"JSBuiltinsConstructStub"
code-creation,Builtin,4,0x1af65b1d9a0,403,"JSConstructStubApi"
code-creation,Builtin,4,0x1af65b1db40,232,"JSEntryTrampoline"
code-creation,Builtin,4,0x1af65b1dc40,232,"JSConstructEntryTrampoline"
code-creation,Builtin,4,0x1af65b1dd40,160,"CompileLazy"
code-creation,Builtin,4,0x1af65b1dde0,160,"CompileOptimized"
code-creation,Builtin,4,0x1af65b1de80,160,"CompileOptimizedConcurrent"
code-creation,Builtin,4,0x1af65b1df20,212,"NotifyDeoptimized"
code-creation,Builtin,4,0x1af65b1e000,222,"NotifySoftDeoptimized"
code-creation,Builtin,4,0x1af65b1e0e0,222,"NotifyLazyDeoptimized"
code-creation,Builtin,4,0x1af65b1e1c0,196,"NotifyStubFailure"
code-creation,Builtin,4,0x1af65b1e2a0,196,"NotifyStubFailureSaveDoubles"
code-creation,Builtin,4,0x1af65b1e380,239,"InterpreterEntryTrampoline"
code-creation,Builtin,4,0x1af65b1e480,107,"InterpreterExitTrampoline"
code-creation,Builtin,4,0x1af65b1e500,138,"InterpreterPushArgsAndCall"
code-creation,Builtin,4,0x1af65b1e5a0,136,"InterpreterPushArgsAndConstruct"
code-creation,Builtin,4,0x1af65b1e640,216,"InterpreterNotifyDeoptimized"
code-creation,Builtin,4,0x1af65b1e720,226,"InterpreterNotifySoftDeoptimized"
code-creation,Builtin,4,0x1af65b1e820,226,"InterpreterNotifyLazyDeoptimized"
code-creation,Builtin,4,0x1af65b1e920,122,"LoadIC_Miss"
code-creation,Builtin,4,0x1af65b1e9a0,122,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x1af65b1ea20,125,"StoreIC_Miss"
code-creation,Builtin,4,0x1af65b1eaa0,125,"KeyedStoreIC_Miss"
code-creation,Builtin,7,0x1af65b1eb20,134,"LoadIC_Getter_ForDeopt"
code-creation,Stub,2,0x1af65b1ebc0,968,"NameDictionaryLookupStub"
code-creation,Builtin,8,0x1af65b1efa0,1037,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,8,0x1af65b1f3c0,1033,"KeyedLoadIC_Megamorphic_Strong"
code-creation,Builtin,10,0x1af65b1f7e0,136,"StoreIC_Setter_ForDeopt"
code-creation,Builtin,11,0x1af65b1f880,125,"KeyedStoreIC_Initialize"
code-creation,Builtin,11,0x1af65b1f900,125,"KeyedStoreIC_PreMonomorphic"
code-creation,Stub,2,0x1af65b1f980,1462,"RecordWriteStub"
code-creation,Stub,2,0x1af65b1ff40,1420,"RecordWriteStub"
code-creation,Stub,2,0x1af65b204e0,1414,"RecordWriteStub"
code-creation,Stub,2,0x1af65b20a80,604,"RecordWriteStub"
code-creation,Stub,2,0x1af65b20ce0,1429,"RecordWriteStub"
code-creation,Builtin,11,0x1af65b21280,3180,"KeyedStoreIC_Megamorphic"
code-creation,Builtin,11,0x1af65b21f00,125,"KeyedStoreIC_Initialize_Strict"
code-creation,Builtin,11,0x1af65b21f80,125,"KeyedStoreIC_PreMonomorphic_Strict"
code-creation,Builtin,11,0x1af65b22000,3190,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Builtin,4,0x1af65b22c80,271,"DatePrototypeGetDate"
code-creation,Builtin,4,0x1af65b22da0,271,"DatePrototypeGetDay"
code-creation,Builtin,4,0x1af65b22ec0,271,"DatePrototypeGetFullYear"
